device_timestamp_us,host_timestamp_utc,event_type,detector,state,envelope_voltage,marker_id,phase,trial,prescribed_intensity,message
6310397396,2026-09-17T09:07:34.780132+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.021866241455078126,,,,,
6310696284,2026-09-17T09:07:35.083088+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.012978578567504883,,,,,
6311388131,2026-09-17T09:07:35.787691+00:00,PHASE_MARKER,system,,,89,rest,10,weak,
6314409424,2026-09-17T09:07:38.794923+00:00,PHASE_MARKER,system,,,90,prepare,11,medium,
6317391312,2026-09-17T09:07:41.788240+00:00,PHASE_MARKER,system,,,91,contract,11,medium,
6317842942,2026-09-17T09:07:42.228836+00:00,CONTRACTION_START,fixed,ACTIVE,0.14538414001464844,,,,,
6317842961,2026-09-17T09:07:42.246053+00:00,CONTRACTION_START,adaptive,ACTIVE,0.14538414001464844,,,,,
6318873310,2026-09-17T09:07:43.253821+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.01750847053527832,,,,,
6318895445,2026-09-17T09:07:43.275326+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.011546204566955567,,,,,
6319447700,2026-09-17T09:07:43.842141+00:00,PHASE_MARKER,system,,,92,rest,11,medium,
6322461839,2026-09-17T09:07:46.847908+00:00,PHASE_MARKER,system,,,93,prepare,12,strong,
6325519578,2026-09-17T09:07:49.905445+00:00,PHASE_MARKER,system,,,94,contract,12,strong,
6326379344,2026-09-17T09:07:50.773846+00:00,CONTRACTION_START,fixed,ACTIVE,0.10622650146484375,,,,,
6326379355,2026-09-17T09:07:50.792972+00:00,CONTRACTION_START,adaptive,ACTIVE,0.10622650146484375,,,,,
6327436551,2026-09-17T09:07:51.817868+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.020275985717773438,,,,,
6327437729,2026-09-17T09:07:51.824221+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.019425373077392578,,,,,
6327568164,2026-09-17T09:07:51.961032+00:00,PHASE_MARKER,system,,,95,rest,12,strong,
6330635253,2026-09-17T09:07:55.026212+00:00,PHASE_MARKER,system,,,96,prepare,13,medium,
6330944150,2026-09-17T09:07:55.324968+00:00,CONTRACTION_START,fixed,ACTIVE,0.056409416198730467,,,,,
6330944167,2026-09-17T09:07:55.345105+00:00,CONTRACTION_START,adaptive,ACTIVE,0.056409416198730467,,,,,
6331073816,2026-09-17T09:07:55.462851+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.01483366870880127,,,,,
6331074434,2026-09-17T09:07:55.470299+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.014244796752929688,,,,,
6333716360,2026-09-17T09:07:58.103364+00:00,PHASE_MARKER,system,,,97,contract,13,medium,
6335214649,2026-09-17T09:07:59.595544+00:00,CONTRACTION_START,fixed,ACTIVE,0.08297422790527344,,,,,
6335214668,2026-09-17T09:07:59.612132+00:00,CONTRACTION_START,adaptive,ACTIVE,0.08297422790527344,,,,,
6335697114,2026-09-17T09:08:00.094012+00:00,PHASE_MARKER,system,,,98,rest,13,medium,
6336200872,2026-09-17T09:08:00.588846+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.01954783248901367,,,,,
6336200891,2026-09-17T09:08:00.598069+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.01954783248901367,,,,,
6338756799,2026-09-17T09:08:03.139783+00:00,PHASE_MARKER,system,,,99,prepare,14,weak,
6341766024,2026-09-17T09:08:06.160481+00:00,PHASE_MARKER,system,,,100,contract,14,weak,
6342307787,2026-09-17T09:08:06.687275+00:00,CONTRACTION_START,fixed,ACTIVE,0.1816577911376953,,,,,
6342309039,2026-09-17T09:08:06.699426+00:00,CONTRACTION_START,adaptive,ACTIVE,0.20923606872558595,,,,,
6342938135,2026-09-17T09:08:07.318561+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.024509420394897462,,,,,
6342940496,2026-09-17T09:08:07.331064+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.024422195434570314,,,,,
6343821567,2026-09-17T09:08:08.204106+00:00,PHASE_MARKER,system,,,101,rest,14,weak,
6346834258,2026-09-17T09:08:11.225201+00:00,PHASE_MARKER,system,,,102,prepare,15,strong,
6349826322,2026-09-17T09:08:14.213984+00:00,PHASE_MARKER,system,,,103,contract,15,strong,
6350486052,2026-09-17T09:08:14.877317+00:00,CONTRACTION_START,fixed,ACTIVE,0.0559922981262207,,,,,
6350487209,2026-09-17T09:08:14.904787+00:00,CONTRACTION_START,adaptive,ACTIVE,0.05261937713623047,,,,,
